Time_s,Sensor0_Raw,Sensor1_Raw,DutyCycle,is_from_callback,Sensor1_Hist_0,Sensor1_Hist_1,Sensor1_Hist_2,Sensor1_Hist_3,Sensor1_Hist_4,Sensor1_Hist_5,Sensor1_Hist_6,Sensor1_Hist_7,Sensor1_Hist_8,Sensor1_Hist_9,DutyCycle_Hist_0,DutyCycle_Hist_1,DutyCycle_Hist_2,DutyCycle_Hist_3,DutyCycle_Hist_4,DutyCycle_Hist_5,DutyCycle_Hist_6,DutyCycle_Hist_7,DutyCycle_Hist_8,DutyCycle_Hist_9
1737354671.084,1.0903,1.0258,100.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1737354671.092,1.0903,1.0258,100.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1737354671.094,1.0903,1.0258,100.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1737354671.099,1.0903,1.0258,100.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1737354671.101,1.0903,1.0258,100.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1737354671.106,1.0903,1.0258,100.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1737354671.113,1.0903,1.0258,105.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,105.00
1737354671.118,1.0903,1.0258,105.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,105.00,105.00
1737354671.124,1.0903,1.0258,105.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,100.00,100.00,100.00,100.00,100.00,100.00,100.00,105.00,105.00,105.00
1737354671.126,1.0903,1.0258,105.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,100.00,100.00,100.00,100.00,100.00,100.00,105.00,105.00,105.00,105.00
1737354671.128,1.0903,1.0258,105.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,100.00,100.00,100.00,100.00,100.00,105.00,105.00,105.00,105.00,105.00
1737354671.134,1.0903,1.0258,105.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,100.00,100.00,100.00,100.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.136,1.0903,1.0290,105.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0290,100.00,100.00,100.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.147,1.0903,1.0290,105.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0290,1.0290,100.00,100.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.151,1.0903,1.0290,105.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0290,1.0290,1.0290,100.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.153,1.0871,1.0290,105.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0290,1.0290,1.0290,1.0290,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.159,1.0871,1.0290,105.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0290,1.0290,1.0290,1.0290,1.0290,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.166,1.0871,1.0290,105.00,False,1.0258,1.0258,1.0258,1.0258,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.171,1.0871,1.0290,105.00,False,1.0258,1.0258,1.0258,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.174,1.0871,1.0290,105.00,False,1.0258,1.0258,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.177,1.0871,1.0290,105.00,False,1.0258,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.184,1.0871,1.0290,105.00,False,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.186,1.0871,1.0290,105.00,False,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.191,1.0871,1.0290,105.00,False,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.193,1.0871,1.0290,105.00,False,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.199,1.0871,1.0258,105.00,False,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0258,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.201,1.0871,1.0290,105.00,False,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0258,1.0290,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.207,1.0871,1.0258,105.00,False,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0258,1.0290,1.0258,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.209,1.0871,1.0258,105.00,False,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0258,1.0290,1.0258,1.0258,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.213,1.0871,1.0258,105.00,False,1.0290,1.0290,1.0290,1.0290,1.0290,1.0258,1.0290,1.0258,1.0258,1.0258,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.215,1.0871,1.0258,105.00,False,1.0290,1.0290,1.0290,1.0290,1.0258,1.0290,1.0258,1.0258,1.0258,1.0258,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.224,1.0871,1.0258,105.00,False,1.0290,1.0290,1.0290,1.0258,1.0290,1.0258,1.0258,1.0258,1.0258,1.0258,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.229,1.0871,1.0258,105.00,False,1.0290,1.0290,1.0258,1.0290,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.231,1.0871,1.0258,105.00,False,1.0290,1.0258,1.0290,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.239,1.0871,1.0258,105.00,False,1.0258,1.0290,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.244,1.0871,1.0258,105.00,False,1.0290,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.249,1.0871,1.0258,105.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.255,1.0871,1.0258,105.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
1737354671.262,1.0871,1.0258,110.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,110.00
1737354671.274,1.0871,1.0258,110.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,110.00,110.00
1737354671.283,1.0936,1.0290,110.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0290,105.00,105.00,105.00,105.00,105.00,105.00,105.00,110.00,110.00,110.00
