Duty Cycle (%),Time (s),Hall Sensor Voltage (V)
0,2.6226043701171875e-06,1.7129182879377431
0,0.002210855484008789,1.7129182879377431
0,0.0038950443267822266,1.7129182879377431
0,0.005587100982666016,1.7129182879377431
0,0.007158994674682617,1.7096955825131608
0,0.008723258972167969,1.7129182879377431
0,0.010306119918823242,1.7129182879377431
0,0.01189565658569336,1.7129182879377431
0,0.013456344604492188,1.7129182879377431
0,0.015010356903076172,1.7129182879377431
0,0.016562461853027344,1.7096955825131608
0,0.018112659454345703,1.7129182879377431
0,0.019680023193359375,1.7129182879377431
0,0.021242141723632812,1.7129182879377431
0,0.022793054580688477,1.7129182879377431
0,0.024342060089111328,1.7129182879377431
0,0.025889873504638672,1.7129182879377431
0,0.027437448501586914,1.7129182879377431
0,0.028984546661376953,1.7129182879377431
0,0.030531883239746094,1.7129182879377431
0,0.03211808204650879,1.7129182879377431
0,0.03366804122924805,1.7129182879377431
0,0.035218238830566406,1.7129182879377431
0,0.03676557540893555,1.7129182879377431
0,0.0383145809173584,1.7129182879377431
0,0.03986072540283203,1.7129182879377431
0,0.04141521453857422,1.7129182879377431
0,0.04298663139343262,1.7129182879377431
0,0.04453754425048828,1.7129182879377431
0,0.04608798027038574,1.7129182879377431
0,0.047637224197387695,1.7129182879377431
0,0.049184560775756836,1.7129182879377431
0,0.050737619400024414,1.7129182879377431
0,0.05229067802429199,1.7129182879377431
0,0.05383658409118652,1.7096955825131608
0,0.05538177490234375,1.7129182879377431
0,0.05692696571350098,1.7129182879377431
0,0.0584721565246582,1.7129182879377431
0,0.06003117561340332,1.7096955825131608
0,0.06158709526062012,1.7129182879377431
0,0.06313252449035645,1.7129182879377431
0,0.06467914581298828,1.7129182879377431
0,0.06622457504272461,1.7129182879377431
0,0.06777000427246094,1.7096955825131608
0,0.06931424140930176,1.7129182879377431
0,0.07086300849914551,1.7129182879377431
0,0.07241225242614746,1.7129182879377431
0,0.07396697998046875,1.7129182879377431
0,0.07551360130310059,1.7129182879377431
0,0.07705855369567871,1.7129182879377431
0,0.07860326766967773,1.7129182879377431
0,0.08015084266662598,1.7129182879377431
0,0.08170723915100098,1.7129182879377431
0,0.08326053619384766,1.7129182879377431
0,0.08481168746948242,1.7129182879377431
0,0.08636164665222168,1.7129182879377431
0,0.08791041374206543,1.7129182879377431
0,0.08945941925048828,1.7129182879377431
0,0.09102797508239746,1.7129182879377431
0,0.09258317947387695,1.7129182879377431
0,0.09413576126098633,1.7129182879377431
0,0.09573721885681152,1.7129182879377431
0,0.09729623794555664,1.7129182879377431
0,0.09884905815124512,1.7129182879377431
0,0.1004025936126709,1.7129182879377431
0,0.1019587516784668,1.7129182879377431
0,0.10351157188415527,1.7129182879377431
0,0.10505986213684082,1.7096955825131608
0,0.10660696029663086,1.7129182879377431
0,0.1081545352935791,1.7129182879377431
0,0.10970520973205566,1.7129182879377431
0,0.11125683784484863,1.7096955825131608
0,0.11280655860900879,1.7129182879377431
0,0.11435437202453613,1.7129182879377431
0,0.11590242385864258,1.7096955825131608
0,0.11744999885559082,1.7129182879377431
0,0.11899757385253906,1.7129182879377431
0,0.12054657936096191,1.7129182879377431
0,0.1221017837524414,1.7129182879377431
0,0.12365007400512695,1.7129182879377431
0,0.1251990795135498,1.7129182879377431
0,0.12674617767333984,1.7096955825131608
0,0.1282939910888672,1.7129182879377431
0,0.12984156608581543,1.7129182879377431
0,0.1313917636871338,1.7129182879377431
0,0.13295960426330566,1.7129182879377431
0,0.13450980186462402,1.7129182879377431
0,0.13605785369873047,1.7129182879377431
0,0.13760590553283691,1.7129182879377431
0,0.13915467262268066,1.7129182879377431
0,0.14070606231689453,1.7129182879377431
0,0.14225339889526367,1.7129182879377431
0,0.14380097389221191,1.7129182879377431
0,0.14534735679626465,1.7129182879377431
0,0.14689421653747559,1.7129182879377431
0,0.14844155311584473,1.7129182879377431
0,0.14998960494995117,1.7129182879377431
0,0.15153765678405762,1.7129182879377431
0,0.15308523178100586,1.7129182879377431
0,0.1546316146850586,1.7129182879377431
0,0.15617942810058594,1.7129182879377431
0,0.15772604942321777,1.7129182879377431
0,0.15927386283874512,1.7129182879377431
0,0.1608271598815918,1.7129182879377431
0,0.16237401962280273,1.7129182879377431
0,0.16392207145690918,1.7096955825131608
0,0.16560101509094238,1.7129182879377431
0,0.16721320152282715,1.7096955825131608
0,0.16889691352844238,1.7129182879377431
0,0.17046523094177246,1.7129182879377431
0,0.17202234268188477,1.7129182879377431
0,0.17362093925476074,1.7129182879377431
0,0.1751995086669922,1.7129182879377431
0,0.17675280570983887,1.7129182879377431
0,0.17830419540405273,1.7129182879377431
0,0.1798539161682129,1.7129182879377431
0,0.18141531944274902,1.7129182879377431
0,0.18296456336975098,1.7129182879377431
0,0.18451428413391113,1.7129182879377431
0,0.1860637664794922,1.7129182879377431
0,0.18761205673217773,1.7129182879377431
0,0.18915963172912598,1.7129182879377431
0,0.19070863723754883,1.7096955825131608
0,0.1922605037689209,1.7129182879377431
0,0.19380807876586914,1.7129182879377431
0,0.19535493850708008,1.7129182879377431
0,0.19690322875976562,1.7129182879377431
0,0.19845366477966309,1.7129182879377431
0,0.2002716064453125,1.7129182879377431
0,0.20187854766845703,1.7129182879377431
0,0.20343708992004395,1.7096955825131608
0,0.20499277114868164,1.7129182879377431
0,0.20654535293579102,1.7129182879377431
0,0.2080979347229004,1.7129182879377431
0,0.20964813232421875,1.7129182879377431
0,0.21120309829711914,1.7129182879377431
0,0.2127542495727539,1.7129182879377431
0,0.21430420875549316,1.7129182879377431
